#{"t_start": 1626664554.518051, "env_id": "RockWalk-v0"}
r,l,t
27.224971,21,737.047282
57.178809,29,737.273736
27.308363,21,738.274234
449.030346,129,740.048836
210.453857,67,740.950341
103.253619,41,741.088281
165.423558,56,742.035954
61.035052,30,743.142826
58.414848,29,743.286618
126.652443,49,744.3049
70.212727,32,744.415943
83.019921,35,745.604223
38.205951,24,745.711422
194.524863,64,746.859548
277.570024,73,749.499936
69.661911,32,749.64976
269.684122,82,750.707144
311.184202,97,752.360531
37.712931,24,752.452154
105.828406,41,753.203853
35.399667,23,753.291313
56.267327,30,754.050148
127.123583,48,754.187844
85.454286,36,754.875911
71.947498,33,754.984201
193.182891,64,755.754891
747.13757,194,758.621312
154.406053,53,758.758358
123.293016,46,759.480237
332.770961,93,762.108343
234.064251,74,763.278573
184.131821,61,764.524425
168.719124,60,765.711202
259.181993,80,767.171018
240.033796,77,768.463888
182.110142,60,769.469
108.25531,43,770.214908
162.230269,58,770.972009
138.424956,49,771.108144
39.197856,24,771.781612
74.321832,33,771.889988
303.707737,94,773.349616
114.00065,43,773.49374
158.269691,55,774.243297
19.383371,19,774.319335
427.593299,130,776.506468
27.23519,21,776.593915
64.761524,31,776.696986
116.072258,44,777.471815
162.206901,56,778.230773
58.572884,29,778.325394
78.002897,34,779.070765
47.227609,26,779.174963
130.39808,47,779.924479
31.273532,22,780.010082
237.290508,74,781.431833
163.888812,56,781.597087
307.297299,92,783.045382
51.34369,27,783.138731
289.75448,89,784.627241
46.254124,26,784.718818
149.046042,52,785.476825
350.248045,102,786.33213
67.178187,31,787.026462
39.515134,24,787.114853
65.704994,31,787.815451
277.370269,87,788.703238
57.228887,29,789.386133
62.337845,30,789.484678
106.537646,41,790.200019
724.561397,199,792.454648
296.576374,89,793.317908
242.921745,78,794.16207
47.134043,26,794.899772
53.634925,28,794.986635
356.490074,106,796.430046
261.965465,82,797.227225
42.993077,25,797.923137
355.398289,106,798.817883
63.932306,31,799.538696
329.38015,98,800.398746
604.856464,176,802.700637
45.794376,26,802.792241
145.829847,51,803.524639
46.888923,26,804.207844
251.482854,78,805.029057
152.381621,53,805.805423
62.761676,30,805.895905
27.189471,21,805.978978
163.461447,56,806.739122
50.994679,27,807.445823
231.405882,76,808.24065
560.76209,157,809.825391
129.05997,47,810.561968
34.7891,23,811.230073
142.075594,51,811.37609
131.885842,49,812.132438
84.546385,36,812.849023
462.931632,133,814.483253
136.139271,49,814.675051
194.12487,63,815.687991
194.725154,63,816.459325
50.462834,27,817.201796
201.213306,65,818.031251
64.126089,31,818.145501
248.330592,77,819.955962
31.382858,22,820.086798
142.657404,50,821.1148
31.275054,22,821.210684
172.006699,58,822.28015
278.820775,84,823.38669
185.846253,61,824.379626
88.044599,37,825.305115
275.870816,84,826.473312
454.519693,129,828.545556
23.762612,20,828.638517
297.63495,90,830.62293
240.090877,75,831.717705
98.427907,39,832.60961
38.53487,24,832.697196
35.3758,23,832.802693
38.793163,24,833.696331
86.53727,36,833.808717
447.264919,131,835.601094
225.944694,73,836.579001
168.387607,57,837.736411
52.68724,28,838.876494
346.782704,103,840.177304
293.313527,88,841.632073
486.814038,138,843.599142
122.078368,45,844.626611
176.656593,59,845.627918
144.455537,53,845.918698
39.261528,24,846.741455
42.907264,25,846.862143
227.598283,72,847.92565
263.858786,81,849.564794
113.740919,45,849.697132
369.996585,108,851.609074
34.84226,23,851.74794
541.793553,141,854.660349
268.802206,84,855.545704
57.858972,29,855.653646
177.671704,61,856.580004
43.158429,25,857.276781
49.771391,27,857.368816
54.687573,28,857.465029
31.378123,22,858.116265
112.2541,43,858.250397
158.133544,57,859.07595
282.674678,86,860.842565
176.683233,60,861.878039
50.235391,27,862.012181
239.936988,80,863.205026
69.924143,32,864.112193
154.434187,53,865.057282
317.064217,94,866.171399
161.614049,58,867.051026
31.453022,22,867.147505
61.463677,30,868.039504
101.130647,40,868.188724
35.440436,23,869.162524
274.978911,86,870.187794
74.042613,33,871.078005
27.411412,21,871.16981
140.003314,50,872.050071
27.78251,21,872.135104
39.087558,24,872.929468
66.830139,31,873.050985
42.521596,25,873.160377
403.087457,116,874.87969
74.080989,35,875.667216
185.672077,61,876.629123
58.503382,29,876.734567
46.921829,26,877.831805
46.959378,26,877.944196
62.428448,30,878.065692
58.350375,29,878.863398
137.046819,50,879.695272
168.42332,57,880.542259
23.582514,20,880.619077
210.343948,68,881.390069
61.355759,30,881.490274
256.737962,79,882.999818
74.850411,33,883.1083
54.289716,28,883.778132
46.916985,26,883.870784
86.891051,37,884.549462
63.326644,30,884.646873
276.632219,85,885.440822
152.361364,55,886.487922
26.974727,21,887.198742
624.51076,174,888.883489
153.491191,53,889.642776
100.445646,40,890.334066
129.759513,47,890.470507
30.28741,22,891.428608
38.821035,24,891.524641
79.045754,34,892.320104
58.964306,29,892.44615
395.117195,114,894.046003
173.445465,58,894.909563
46.32255,26,895.001753
73.159708,34,896.209893
117.419438,44,896.34272
223.225656,71,897.689598
54.274648,28,897.788156
34.227132,23,897.875954
60.120507,30,898.53971
60.367856,30,898.64642
201.752747,65,899.509943
113.86071,43,900.608753
375.320917,109,902.700555
162.116232,55,903.672089
139.321094,50,903.847784
162.757281,56,904.853964
491.407432,139,906.931774
167.990058,57,907.84326
